Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references,tbas_loci,missing,link,Trophic Mode,Guild
Otu1107,Ascomycota,Ascomycota,Xylonomycetes,Xylonomycetes,Xylonomycetales,Xylonomycetales,unclassified,unclassified,Symbiotaphrina,Symbiotaphrina,Symbiotaphrina_kochii,"0.002237, 0.001957, 0.001577, 0.001471, 0.001172, 0.001169, 0.001134, 0.001089, 0.001050, 0.001003, 0.000980",OTU121,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1107,,
Otu1108,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Venturiales,Venturiales,Sympoventuriaceae,Sympoventuriaceae,Sympoventuria,Sympoventuria,Sympoventuria_capensis,"0.008681, 0.006539, 0.003724, 0.003572, 0.002725, 0.002427, 0.002414, 0.002414, 0.002392, 0.002356, 0.002077",OTU122,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1108,Saprotroph,Undefined Saprotroph
Otu1109,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Togniniales,Togniniales,Togniniaceae,Togniniaceae,Phaeoacremonium,Phaeoacremonium,Phaeoacremonium_minimum,1,OTU123,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1109,Pathotroph,Plant Pathogen
Otu111,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Coniothyriaceae,Coniothyriaceae,Coniothyrium,Coniothyrium,Coniothyrium_palmarum,"0.577469, 0.194846, 0.178599",OTU124,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu111,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph
Otu1110,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria,Phaeosphaeria_eustoma,"0.339287, 0.222405, 0.222398, 0.067016, 0.066996, 0.015546, 0.009890, 0.006966",OTU125,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1110,Saprotroph,Undefined Saprotroph
Otu1111,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Phaeosphaeriaceae",Pseudocamarosporium,"Pseudocamarosporium,Phaeodothis","Pseudocamarosporium_piceae,Pseudocamarosporium_corni,Pseudocamarosporium_lonicerae,Phaeodothis_winteri,Pseudocamarosporium_propinquum","0.241643, 0.185245, 0.179451, 0.142723, 0.142645, 0.021471, 0.020611, 0.004730, 0.004728, 0.004060, 0.004057",OTU126,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1111,,
Otu1112,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Saccharataceae,Saccharataceae,Saccharata,Saccharata,"Saccharata_hawaiiensis,Saccharata_kirstenboschensis,Saccharata_capensis","0.432207, 0.112613, 0.082270, 0.073343, 0.070745, 0.060040, 0.058253, 0.039952, 0.038049",OTU127,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1112,Pathotroph,Plant Pathogen
Otu1113,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Rachicladosporium_inconspicuum_1,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum,Dothideomycetes_sp_TRN43,Cladosporium_allicinum,Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN42,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Rachicladosporium_mcmurdoi","0.259742, 0.258486, 0.258005, 0.036782, 0.034265, 0.034265, 0.034265, 0.034265",OTU128,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1113,Pathotroph,Plant Pathogen
Otu1114,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymellaceae,"Didymellaceae,Leptosphaeriaceae",Neoascochyta,"Neoascochyta,Paraleptosphaeria","Neoascochyta_paspali,Neoascochyta_europaea,Paraleptosphaeria_rumicis,Neoascochyta_desmazieri","0.018565, 0.017871, 0.017067, 0.016647, 0.016295, 0.015932, 0.014935, 0.013836, 0.013318, 0.013318, 0.013318",OTU129,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1114,,
Otu1115,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Lulworthiales,Lulworthiales,Lulworthiaceae,Lulworthiaceae,Lindra,Lindra,Lindra_thalassiae,"0.008915, 0.008346, 0.008342, 0.007297, 0.006147, 0.006097, 0.004710, 0.004569, 0.004445, 0.004361, 0.004346",OTU130,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1115,Saprotroph,Undefined Saprotroph
Otu1116,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Comoclathris,Comoclathris,Comoclathris_lini,"0.043425, 0.039398, 0.039060, 0.036449, 0.032781, 0.032028, 0.030802, 0.030736, 0.021083, 0.019159, 0.013612",OTU131,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1116,Saprotroph,Undefined Saprotroph
Otu1117,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria,Phaeosphaeria_eustoma,"0.586170, 0.150077, 0.145960, 0.026327, 0.025867, 0.019977",OTU132,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1117,Saprotroph,Undefined Saprotroph
Otu1118,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Rubellisphaeria,Rubellisphaeria,Rubellisphaeria_abscondita,"0.039141, 0.033937, 0.031084, 0.023594, 0.023477, 0.012922, 0.010517, 0.009952, 0.009952, 0.009952, 0.009341",OTU133,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1118,,
Otu1119,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Lecanorales,Lecanorales,Parmeliaceae,Parmeliaceae,Xanthoparmelia,Xanthoparmelia,Xanthoparmelia_saxeti,"0.105992, 0.060105, 0.038858, 0.025665, 0.025558, 0.025558, 0.025098, 0.025098, 0.021388, 0.021230, 0.019815",OTU134,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1119,Symbiotroph,Lichenized
Otu112,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,Cyphellophoraceae,Cyphellophoraceae,Cyphellophora,Cyphellophora,"Cyphellophora_laciniata,Cyphellophora_suttonii,Cyphellophora_vermispora","0.400471, 0.148813, 0.134554, 0.054408, 0.052936, 0.051899, 0.049359, 0.040808, 0.037581",OTU135,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu112,Pathotroph,Animal Pathogen
Otu1120,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,Meyerozyma,Meyerozyma_guilliermondii,"0.661355, 0.247305, 0.091340",OTU136,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1120,Pathotroph,Animal Pathogen
Otu1121,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Trypetheliales,Trypetheliales,Trypetheliaceae,Trypetheliaceae,Trypethelium,"Trypethelium,Astrothelium,Laurera","Astrothelium_cinnamomeum,Laurera_megasperma,Trypethelium_nitidiusculum,Trypethelium_virens","0.035047, 0.018025, 0.018013, 0.017880, 0.017757, 0.017549, 0.017516, 0.017498, 0.017422, 0.017391, 0.017351",OTU137,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1121,Symbiotroph,Lichenized
Otu1122,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Venturiales,Venturiales,Sympoventuriaceae,Sympoventuriaceae,Ochroconis,Ochroconis,Ochroconis_tshawytschae,"0.000754, 0.000585, 0.000539, 0.000529, 0.000528, 0.000478, 0.000452, 0.000450, 0.000438, 0.000436, 0.000434",OTU138,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1122,Pathotroph,Animal Pathogen
Otu1123,Ascomycota,Ascomycota,Xylonomycetes,Xylonomycetes,Xylonomycetales,Xylonomycetales,Xylonomycetaceae,Xylonomycetaceae,Xylona,Xylona,"Xylona_heveae,Xylona_heveae_1,Xylona_heveae_2","0.629072, 0.029475, 0.024384, 0.021239, 0.019379, 0.015729, 0.015145, 0.015116, 0.015110, 0.015100, 0.015100",OTU139,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1123,Symbiotroph,Endophyte
Otu1124,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Debaryomyces,Debaryomyces,Debaryomyces_hansenii,"0.002884, 0.002236, 0.001753, 0.001010, 0.000942, 0.000886, 0.000810, 0.000740, 0.000702, 0.000637, 0.000635",OTU140,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1124,Saprotroph,Undefined Saprotroph
Otu1125,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Venturiales,Venturiales,Sympoventuriaceae,Sympoventuriaceae,Ochroconis,Ochroconis,Ochroconis_minima,"0.002654, 0.001308, 0.001048, 0.000903, 0.000836, 0.000721, 0.000509, 0.000502, 0.000469, 0.000464, 0.000435",OTU141,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1125,Saprotroph,Undefined Saprotroph
Otu1126,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Alternaria,Alternaria,"Alternaria_tenuissima,Alternaria_thalictrigena","0.054069, 0.054065, 0.054064, 0.015348, 0.005337, 0.004622, 0.004390, 0.004370, 0.004352, 0.004337, 0.004330",OTU142,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1126,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu1127,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Montagnulaceae,Phaeosphaeriaceae",Pseudocamarosporium,"Pseudocamarosporium,Bimuria,Montagnula,Pseudodidymocyrtis,Phaeodothis","Bimuria_novaezelandiae,Pseudocamarosporium_piceae,Pseudocamarosporium_corni,Pseudocamarosporium_lonicerae,Montagnula_opulenta,Pseudodidymocyrtis_lobariellae,Phaeodothis_winteri,Pseudocamarosporium_propinquum","0.150494, 0.139507, 0.139293, 0.050797, 0.047199, 0.046738, 0.042919, 0.042827, 0.042785, 0.038711, 0.023038",OTU143,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1127,,
Otu1128,Ascomycota,Ascomycota,Xylonomycetes,Xylonomycetes,Xylonomycetales,Xylonomycetales,unclassified,unclassified,Symbiotaphrina,Symbiotaphrina,Symbiotaphrina_kochii,"0.163003, 0.024428, 0.008181, 0.007765, 0.002521, 0.002233, 0.002189, 0.002186, 0.002075, 0.001866, 0.001595",OTU144,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1128,,
Otu1129,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.999167,OTU145,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1129,Pathotroph,Animal Pathogen
Otu113,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Abrothallales,Abrothallales,Abrothallaceae,Abrothallaceae,Abrothallus,Abrothallus,"Abrothallus_macrosporus,Abrothallus_parmeliarum,Abrothallus_subhalei,Abrothallus_sp1,Abrothallus_buellianus,Abrothallus_sp2,Abrothallus_hypotrachynae,Abrothallus_secedens,Abrothallus_cladoniae,Abrothallus_subhalei_anamorph,Abrothallus_parmotrematis","0.355418, 0.159881, 0.150107, 0.142684, 0.115107, 0.029387",OTU146,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu113,Pathotroph,Lichen Parasite
Otu1130,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Rubellisphaeria,Rubellisphaeria,Rubellisphaeria_abscondita,"0.049131, 0.021557, 0.016870, 0.016797, 0.010007, 0.009484, 0.007863, 0.007733, 0.007482, 0.007482, 0.007482",OTU147,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1130,,
Otu1131,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Cladophialophora,Cladophialophora,Cladophialophora_modesta,"0.056112, 0.054229, 0.050437, 0.025188, 0.024915, 0.020811, 0.020811, 0.018067, 0.017866, 0.017322, 0.017211",OTU148,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1131,Saprotroph,Undefined Saprotroph
Otu1132,Ascomycota,Ascomycota,Neolectomycetes,"Neolectomycetes,unclassified",Neolectales,"Neolectales,unclassified",Neolectaceae,"Neolectaceae,unclassified",Neolecta,"Neolecta,Saitoella","Neolecta_irregularis,Saitoella_complicata,Neolecta_vitellina","0.238898, 0.236556, 0.235990, 0.030957, 0.015929, 0.015486, 0.011713, 0.011137, 0.010900, 0.010571, 0.010568",OTU149,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1132,Saprotroph,Undefined Saprotroph
Otu1133,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Stigmatodiscales,Stigmatodiscales,Stigmatodiscaceae,Stigmatodiscaceae,Stigmatodiscus,"Stigmatodiscus,Asterodiscus","Stigmatodiscus_enigmaticus,Asterodiscus_tamaricis","0.314400, 0.130626, 0.107402, 0.106061, 0.076669, 0.076661, 0.025362, 0.024059, 0.013110, 0.012380, 0.012202",OTU150,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1133,,
Otu1134,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Lulworthiales,Lulworthiales,Lulworthiaceae,Lulworthiaceae,Lindra,Lindra,Lindra_thalassiae,"0.028454, 0.025311, 0.025301, 0.017675, 0.017484, 0.013536, 0.013183, 0.012814, 0.012631, 0.012510, 0.012428",OTU151,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1134,Saprotroph,Undefined Saprotroph
Otu1135,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,unclassified,unclassified,Hobus,Hobus,Hobus_wogradensis,"0.048344, 0.016259, 0.015757, 0.015081, 0.014990, 0.014739, 0.014722, 0.014439, 0.013923, 0.013822, 0.013697",OTU152,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1135,,
Otu1136,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Debaryomyces,Debaryomyces,Debaryomyces_hansenii,"0.572590, 0.224063, 0.080134, 0.010238, 0.005234, 0.005204, 0.004431, 0.003914, 0.003886, 0.002824, 0.002805",OTU153,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1136,Saprotroph,Undefined Saprotroph
Otu1137,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,Cyphellophoraceae,"Cyphellophoraceae,unclassified",Cyphellophora,"Cyphellophora,unclassified","Cyphellophora_reptans,Cyphellophora_pluriseptata,Cyphellophora_vermispora,Cyphellophora_europaea,Cyphellophora_oxyspora,Cyphellophora_pauciseptata,Cyphellophora_fusarioides,Cyphellophora_guyanensis,Chaetothyriales_sp_TRN107,Cyphellophora_olivacea,Cyphellophora_suttonii","0.214439, 0.118512, 0.117115, 0.116701, 0.078142, 0.074740, 0.050886, 0.041348, 0.040934, 0.024608, 0.017205",OTU154,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1137,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph
Otu1138,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Glomerellales,Glomerellales,Plectosphaerellaceae,Plectosphaerellaceae,Gibellulopsis,Gibellulopsis,Gibellulopsis_nigrescens,"0.004777, 0.002207, 0.002194, 0.002058, 0.001684, 0.001684, 0.001451, 0.001429, 0.001428, 0.001428, 0.001395",OTU155,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1138,Pathotroph,Plant Pathogen
Otu1139,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Lulworthiales,Lulworthiales,Lulworthiaceae,Lulworthiaceae,Lindra,Lindra,Lindra_obtusa,"0.038260, 0.038028, 0.037618, 0.031172, 0.030990, 0.011853, 0.010371, 0.010369, 0.008090, 0.006767, 0.005261",OTU156,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1139,Saprotroph,Undefined Saprotroph
Otu114,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Trichocomaceae,Trichocomaceae,Talaromyces,Talaromyces,"Talaromyces_pittii,Talaromyces_allahabadensis,Talaromyces_emodensis,Talaromyces_brunneus,Talaromyces_wortmannii,Talaromyces_bacillisporus,Talaromyces_rugulosus,Talaromyces_tardifaciens,Talaromyces_loliensis,Talaromyces_dendriticus,Talaromyces_islandicus","0.027463, 0.027459, 0.027458, 0.025517, 0.017328, 0.016242, 0.016048, 0.015411, 0.015063, 0.015063, 0.015063",OTU157,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu114,Saprotroph,Undefined Saprotroph
Otu1140,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,"Rhytismatales,Helotiales,Phacidiales",Phacidiaceae,"Phacidiaceae,Rhytismataceae,Helotiaceae,Cudoniaceae,Bulgariaceae,unclassified",Phacidium,"Phacidium,Zymochalara,Cyclaneusma,Bulgaria,Darkera,Potebniamyces,Spathularia,Cudonia","Cyclaneusma_minus,Bulgaria_inquinans,Phacidium_lacerum,Phacidium_pseudophacidioides,Zymochalara_lygodii,Darkera_picea,Potebniamyces_pyri,Spathularia_velutipes,Cudonia_circinans,Phacidium_lauri,Zymochalara_cyatheae","0.025256, 0.025221, 0.023366, 0.022554, 0.016389, 0.016104, 0.015616, 0.015091, 0.014799, 0.014319, 0.013859",OTU158,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1140,Pathotroph,Plant Pathogen
Otu1141,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Chorioactidaceae,Chorioactidaceae,Wolfina,Wolfina,Wolfina_aurantiopsis,"0.036407, 0.008182, 0.008114, 0.008113, 0.007900, 0.007586, 0.007101, 0.006074, 0.006073, 0.005656, 0.005532",OTU159,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1141,,
Otu1142,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Daldinia,Daldinia,Daldinia_eschscholtzii,"0.081543, 0.081071, 0.080941, 0.080874, 0.080800, 0.080461, 0.080457, 0.080444, 0.080439, 0.035683, 0.030612",OTU160,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1142,Saprotroph,Undefined Saprotroph
Otu1143,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Septoriella,"Septoriella,Ophiosphaerella","Ophiosphaerella_herpotricha,Septoriella_hubertusii,Septoriella_hirta,Septoriella_leuchtmannii","0.351853, 0.292507, 0.150705, 0.043813, 0.043650, 0.021277, 0.021147, 0.012069, 0.010361, 0.010139",OTU161,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1143,,
Otu1144,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Helotiaceae,Helotiaceae,Chloroscypha,Chloroscypha,Chloroscypha_enterochroma,"0.019552, 0.013076, 0.012600, 0.011958, 0.011716, 0.011403, 0.011151, 0.010424, 0.006437, 0.006437, 0.006434",OTU162,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1144,Symbiotroph,Endophyte
Otu1145,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,Amphisphaeriaceae,Discostroma,"Discostroma,Pseudopestalotiopsis,Seiridium,Pestalotiopsis","Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Pestalotiopsis_vismiae","0.292417, 0.187226, 0.182786, 0.081029, 0.080558, 0.080337, 0.036638, 0.032842",OTU163,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1145,Pathotroph,Plant Pathogen
Otu1146,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Exserohilum,Exserohilum,Exserohilum_oryzicola,"0.620833, 0.240519, 0.046771, 0.043487",OTU164,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1146,Pathotroph,Plant Pathogen
Otu1147,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Setophoma,Setophoma,Setophoma_sacchari,"0.903297, 0.030252, 0.028676",OTU165,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1147,,
